name	time	frame	height	yaw	pitch	roll	length	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	sensor	event	printID	age_class
20240811002A	2024-08-11 05:33:05	11717	79.8	138.4	-90	0	14.3725673551581	-20.9756731322598	55.1756051739167	310338.106281102	7679463.50162052	40	K	670.425	421.265	310336.287718187	7679470.45399436	310339.924844018	7679456.54924668	165.341322383234	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	3	adult
20240811002A	2024-08-11 05:33:24.400000	12299	78.7	118	-90	0	11.1079427303733	-20.9758550960088	55.1754609311925	310323.336915665	7679443.18457169	40	K	393.39	777.34	310322.03330784	7679448.5833868	310324.640523489	7679437.78575658	166.425097489102	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	4	adult
20240811002A	2024-08-11 05:33:39	12738	76.9	113.7	-90	0	16.850676789193	-20.9760768821994	55.1754731539322	310324.887904766	7679418.64412754	40	K	443.635	693.54	310322.221480463	7679426.6364056	310327.554329069	7679410.65184949	161.5500088843	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	5	adult
20240811002A	2024-08-11 05:33:54.200000	13195	77	113.7	-89.9	0	15.6435038953201	-20.9763498704563	55.1754275901573	310320.494626321	7679388.3663505	40	K	245.775	728.015	310319.348179632	7679396.10362803	310321.64107301	7679380.62907298	171.571702395772	Aug-11th-2024-09-23AM-Flight-Airdata	TIR	2	6	adult
20240814001A	2024-08-14 05:12:13.400000	342	77.2	310.1	-43.7	0	8.66549449311399	-21.0461199455908	55.1806139264511	310947.7717203	7671669.93947948	40	K	1469.375	571.67	310943.503438127	7671670.68410422	310952.040002473	7671669.19485474	99.8959648293965	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814001A	2024-08-14 05:12:35	990	77.8	35	-87.9	0	11.1781832148597	-21.0464758679754	55.1808784547774	310975.715195432	7671630.84713661	40	K	1556.325	366.62	310970.220019808	7671631.86742571	310981.210371056	7671629.82684751	100.518329952077	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814001A	2024-08-14 05:12:37.600000	1064	77.9	35	-87.9	0	10.8967636413346	-21.046487351153	55.180913071883	310979.327650806	7671629.61681413	40	K	1592.545	457.19	310974.04463486	7671630.94895789	310984.610666751	7671628.28467038	104.152443379303	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	3	adult
20240814002A	2024-08-14 05:12:23.600000	648	77.8	313.9	-66.8	0	10.0827750394067	-21.0459857489398	55.1806211891922	310948.35709431	7671684.80567792	40	K	1579.505	529.64	310943.773718815	7671686.90526293	310952.940469805	7671682.70609292	114.611902863113	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814002A	2024-08-14 05:12:37.400000	1060	77.9	35	-87.9	0	9.31970540478775	-21.0463798364814	55.1807999967326	310967.439325271	7671641.38625348	40	K	1345.475	397.78	310962.854042848	7671642.21656205	310972.024607693	7671640.55594492	100.26396793179	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814002A	2024-08-14 05:12:52	1500	77.7	39.4	-90	0	9.39982280477224	-21.0464022229362	55.180951247987	310983.188015381	7671639.08704317	40	K	1512.85	464.43	310978.753475295	7671640.64397009	310987.622555467	7671637.53011626	109.345712902296	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	3	adult
20240814002A	2024-08-14 05:13:03.800000	1851	78	57.7	-89.9	0	8.05804104603521	-21.0464730102178	55.1809838789789	310986.668929152	7671631.28850915	40	K	1581.675	326.77	310982.775847916	7671632.32625905	310990.562010388	7671630.25075924	104.925850974034	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	4	adult
20240814003A	2024-08-14 05:13:28.600000	2594	77.4	285	-59.9	0	11.688910134032	-21.0459501201869	55.1805665505692	310942.633170012	7671688.6855342	40	K	1395.47	638.325	310937.854935156	7671692.05096532	310947.411404869	7671685.32010307	125.15800099033	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814003A	2024-08-14 05:13:56	3417	77.3	35.8	-78.3	0	9.95867971903614	-21.0464555210025	55.1810105802448	310989.422060917	7671633.25648012	40	K	1745.42	462.985	310984.863101971	7671635.25890833	310993.981019863	7671631.2540519	113.712487098954	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814003A	2024-08-14 05:14:12.800000	3918	77.3	106.4	-84.6	0	9.76041362744737	-21.0466955021335	55.1809027189254	310978.514462586	7671606.55909852	40	K	1606.315	555	310974.449772687	7671609.25997144	310982.579152485	7671603.85822559	123.602927947531	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	3	adult
20240814003A	2024-08-14 05:14:26	4317	77.3	63.2	-84.6	0	9.93457273250207	-21.046796263334	55.181280245947	311017.880168576	7671595.8508268	40	K	1512.125	632.525	311013.859412936	7671598.76758149	311021.900924216	7671592.93407211	125.958051396318	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	4	adult
20240814004A	2024-08-14 05:14:04.400000	3667	77.2	42.1	-89.9	0	11.2230145597841	-21.0464912176448	55.1811685474363	311005.885569951	7671629.4915725	40	K	1822.95	431.105	311000.979765747	7671632.21592547	311010.791374156	7671626.76721954	119.044841215358	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814004A	2024-08-14 05:14:21.200000	4174	77.4	57.9	-84.6	0	9.99465776875579	-21.0467375720436	55.1813082737438	311020.719152009	7671602.38205343	40	K	1457.785	597.75	311016.797334732	7671605.47925301	311024.640969286	7671599.28485386	128.299414460407	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814004A	2024-08-14 05:14:32.600000	4516	77.3	68.7	-84.6	0	8.56142661457737	-21.0468397413069	55.1813713040412	311027.399227672	7671591.14508577	40	K	1593.275	477.475	311023.899550606	7671593.61019568	311030.898904738	7671588.67997587	125.160181072132	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	3	adult
20240814012A	2024-08-14 05:20:24.600000	15063	72.7	136.6	-44.2	0	10.1131483022433	-21.0484153958401	55.1852014741226	311427.474558451	7671421.2314123	40	K	1290.405	502.84	311423.939038344	7671424.84652498	311431.010078558	7671417.61629961	135.637724040985	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814012A	2024-08-14 05:20:39	15492	72.7	132.3	-37.7	0	9.10840834711353	-21.0485320101442	55.1853417761856	311442.203655518	7671408.48641406	40	K	1307.8	523.125	311439.220031353	7671411.92716434	311445.187279682	7671405.04566378	139.070019371596	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814012A	2024-08-14 05:20:57.600000	16052	72.5	123.7	-41.1	0	8.66456980962639	-21.0486751346475	55.1855417207698	311463.16501231	7671392.87686301	40	K	1404.89	360.82	311459.752421324	7671395.54574204	311466.577603297	7671390.20798398	128.027833585153	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	3	adult
