name	sensor	event	print_ID	time	frame	height	length	lat	lon	east	north
20240731003J	TIR	2	1	2024-07-31 04:55:32.4	14816	83.7	NA	-21.0465264371323	55.1949646972559	312439.838359248	7671641.88277283
20240731004A	TIR	3	1	2024-07-31 04:56:08.6	15903	83.8	NA	-21.0470556368856	55.1949207049926	312435.929143638	7671583.24099395
20240731004A	TIR	3	2	2024-07-31 04:56:08.6	15903	83.8	NA	-21.0474447701746	55.194861646365	312430.278538429	7671540.08885947
20240731003J	TIR	4	1	2024-07-31 05:00:22.6	23513	83.8	NA	-21.0497971431	55.1952751407136	312476.202205852	7671280.13368636
20240731003J	TIR	4	2	2024-07-31 05:00:22.6	23513	83.8	NA	-21.0501186312374	55.1953371582608	312483.050676405	7671244.61326279
20240731003J	TIR	1	1	2024-07-31 04:49:03.8	3173	83.7	NA	-21.0416859832791	55.1960377786053	312545.30822156	7672179.05218145
20240731003J	TIR	1	2	2024-07-31 04:49:03.8	3173	83.7	NA	-21.042115571291	55.1959739084869	312539.207532303	7672131.41557713
20240731004A	RGB	1	NA	2024-07-31 04:48:47	2665	84.2	NA	-21.0422110614085	55.1956762988976	312508.394128158	7672120.49360352
20240731004A	RGB	1	NA	2024-07-31 04:48:16.2	1742	84.3	NA	-21.041940188685	55.1952062841677	312459.202402492	7672149.93045433
20240731004A	RGB	2	NA	2024-07-31 04:55:32.8	14829	83.7	NA	-21.0471340222484	55.1949807110136	312442.264074053	7671574.63319303
20240731004A	RGB	2	NA	2024-07-31 04:55:10.2	14149	83.7	NA	-21.0466553795454	55.1949325902323	312436.662883889	7671627.5692242
20240731004A	RGB	2	NA	2024-07-31 04:54:50	13544	83.8	NA	-21.0465738285426	55.1951216646875	312456.212162349	7671636.82049497
20240731003J	RGB	2	NA	2024-07-31 04:55:15.6	14311	83.7	NA	-21.0467093941928	55.1948211190423	312425.144811481	7671621.45789438
20240731003J	RGB	2	NA	2024-07-31 04:55:02.8	13928	83.7	NA	-21.0465633475159	55.1948555174968	312428.537002009	7671637.66782997
20240731003J	RGB	2	NA	2024-07-31 04:54:43.8	13360	83.8	NA	-21.0464513373021	55.1949753163281	312440.847952329	7671650.20989578
20240731004A	RGB	3	NA	2024-07-31 04:56:01.2	15678	83.7	NA	-21.0474939841013	55.1948638281635	312430.566974882	7671534.64273555
20240731004A	RGB	3	NA	2024-07-31 04:55:33.4	14847	83.7	NA	-21.0471387684478	55.1949728866288	312441.456796363	7671574.09851645
20240731003J	RGB	4	NA	2024-07-31 04:59:52.4	22607	83.8	NA	-21.0499465599631	55.1953125681804	312480.279363264	7671263.63510961
20240731003J	RGB	4	NA	2024-07-31 05:00:16.4	23326	83.9	NA	-21.0501494438397	55.1953502190484	312484.446724914	7671241.21722591
20240731003J	RGB	1	NA	2024-07-31 04:48:59.4	3036	83.9	NA	-21.0422042074967	55.195820137595	312523.33586221	7672121.42152534
20240731003J	RGB	1	NA	2024-07-31 04:48:31.2	2196	84.6	NA	-21.0418259089441	55.1956475765181	312504.926455327	7672163.10172358
20240811002A	TIR	2	3	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9705631818416	55.1755444159519	310325.338076826	7680029.17477632
20240811002A	TIR	2	2	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9703964064048	55.1755303151279	310323.661254518	7680047.62250075
20240811002A	TIR	2	1	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9701670350023	55.1754942373275	310319.620062812	7680072.97444555
20240811001A	TIR	2	1	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9702344229277	55.175427678271	310312.783715337	7680065.43472571
20240811001A	TIR	2	2	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9703895087745	55.175442749385	310314.546694127	7680048.28235782
20240811001A	TIR	2	3	2024-08-11 05:27:21.6	1425	80.1	NA	-20.9705554227933	55.1754331911776	310313.762168239	7680029.90195612
20240811001A	RGB	2	NA	2024-08-11 05:27:17	1288	80.1	NA	-20.9705766894425	55.1754732922165	310317.95906447	7680027.59497322
20240811001A	RGB	2	NA	2024-08-11 05:26:49.2	457	80	NA	-20.9702559925087	55.1756703879784	310338.050048269	7680063.33438552
20240811001A	RGB	2	NA	2024-08-11 05:27:04.2	904	80	NA	-20.9704193143497	55.1755662636615	310327.428411039	7680045.1288775
20240811002A	RGB	2	NA	2024-08-11 05:27:17.6	1309	80.1	NA	-20.9705557327225	55.1755824750111	310329.286385441	7680030.04461869
20240811002A	RGB	2	NA	2024-08-11 05:27:05	932	80	NA	-20.9703836468278	55.1756500634149	310336.097627921	7680049.17712392
20240811002A	TIR	3	1	2024-08-11 05:27:41.8	2034	80.1	NA	-20.9705994524417	55.1754498222466	310315.547185874	7680025.04695712
20240811002A	TIR	3	2	2024-08-11 05:27:41.8	2034	80.1	NA	-20.9708016220467	55.1754484836447	310315.663170069	7680002.66228443
20240811001A	TIR	3	1	2024-08-11 05:27:41.8	2034	80.1	NA	-20.9706232463573	55.1753394066119	310304.0952496	7680022.28172178
20240811001A	TIR	3	2	2024-08-11 05:27:41.8	2034	80.1	NA	-20.9707972915602	55.1753274765576	310303.074358628	7680002.99826676
20240811002A	TIR	4	1	2024-08-11 05:28:05.6	2746	80.1	NA	-20.9708515860854	55.1753992670303	310310.608276369	7679997.07219625
20240811002A	TIR	4	2	2024-08-11 05:28:05.6	2746	80.1	NA	-20.9710255546131	55.175378275606	310308.645008768	7679977.78648744
20240811001A	TIR	4	1	2024-08-11 05:28:05.6	2746	80.1	NA	-20.9708078406536	55.1752735765891	310297.482698269	7680001.7664238
20240811001A	TIR	4	2	2024-08-11 05:28:05.6	2746	80.1	NA	-20.9710002718827	55.1752594331229	310296.254859494	7679980.44474487
20240811001A	TIR	5	1	2024-08-11 05:28:23.8	3288	80.1	NA	-20.971037275465	55.1752237664691	310292.592655785	7679976.3056253
20240811001A	TIR	5	2	2024-08-11 05:28:23.8	3288	80.1	NA	-20.9713482069221	55.1752420840455	310294.889988952	7679941.90275125
20240811002A	TIR	5	1	2024-08-11 05:28:23.8	3288	80.1	NA	-20.9710514712211	55.1753459340294	310305.314576787	7679974.87880087
20240811002A	TIR	5	2	2024-08-11 05:28:23.8	3288	80.1	NA	-20.9713676313764	55.1753298538705	310304.041528576	7679939.85625139
20240811001A	RGB	3	NA	2024-08-11 05:27:33.4	1778	80	NA	-20.9707936948818	55.1753639411206	310306.861713826	7680003.43970391
20240811001A	RGB	3	NA	2024-08-11 05:27:17	1289	80.1	NA	-20.9705766894425	55.1754732922165	310317.95906447	7680027.59497322
20240811001A	RGB	5	NA	2024-08-11 05:27:50.8	2300	80.1	NA	-20.9710080729235	55.1752690913017	310297.269045486	7679979.59250876
20240811001A	RGB	5	NA	2024-08-11 05:28:12.2	2946	79.9	NA	-20.9713354911678	55.1752322167441	310293.847854262	7679943.29886873
20240811001A	RGB	4	NA	2024-08-11 05:27:50.2	2282	80.1	NA	-20.9709986652511	55.1752756334502	310297.937476867	7679980.6418305
20240811001A	RGB	4	NA	2024-08-11 05:27:33.2	1773	80	NA	-20.9707902590543	55.1753636551635	310306.82764057	7680003.81976046
20240811002A	RGB	5	NA	2024-08-11 05:28:18	3116	80.1	NA	-20.9714106857499	55.1753565951223	310306.876649462	7679935.12121756
20240811002A	RGB	5	NA	2024-08-11 05:27:50.8	2303	80.1	NA	-20.9710170012335	55.17539780541	310310.665083934	7679978.75662431
20240811002A	RGB	4	NA	2024-08-11 05:27:50.8	2299	80.1	NA	-20.9710174223865	55.1753951210843	310310.386476964	7679978.70681409
20240811002A	RGB	4	NA	2024-08-11 05:27:34	1799	80	NA	-20.9707878501385	55.1754888281359	310319.84114996	7680004.23486286
20240811002A	RGB	3	NA	2024-08-11 05:27:34.2	1802	80	NA	-20.9707885759557	55.1754876624605	310319.720849249	7680004.15312251
20240811002A	RGB	3	NA	2024-08-11 05:27:18	1317	80.1	NA	-20.9705617694296	55.1755835752265	310329.408414431	7680029.37757262
