name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240726011A	05:52.9	8090	74	21.1	-89.9	0	-21.04564004	55.20944775	313944.0293	7671756.987	40	K	1396.6	472.9	313945.8209	7671757.268	313942.2378	7671756.707	-98.90178368	Jul-26th-2024-12-52PM-Flight-Airdata	3.626826265	NA	3.626826265	NA	adult
20240726011A	05:57.3	8218	66.1	21.1	-90	0	-21.04562585	55.20942077	313941.2084	7671758.527	40	K	1391.01	456.38	313942.9672	7671758.78	313939.4497	7671758.273	-98.20662805	Jul-26th-2024-12-52PM-Flight-Airdata	3.553872611	NA	3.553872611	NA	adult
20240726011A	06:00.7	8324	60.2	21.1	-90	0	-21.04562867	55.20938627	313937.6253	7671758.174	40	K	1369.4	477.27	313938.8051	7671759.589	313936.4456	7671756.76	-140.1669957	Jul-26th-2024-12-52PM-Flight-Airdata	3.683647846	NA	3.683647846	NA	adult
20240726011A	06:09.9	8601	46.1	21.1	-89.9	0	-21.04559577	55.20937262	313936.1657	7671761.801	40	K	1422.345	390.56	313936.9796	7671763.453	313935.3518	7671760.149	-153.7716311	Jul-26th-2024-12-52PM-Flight-Airdata	3.683121477	NA	3.683121477	NA	adult
20240726011A	06:17.3	8821	44.3	21.1	-89.9	0	-21.04558565	55.20941811	313940.8815	7671762.974	40	K	1379.795	320.725	313942.2206	7671764.132	313939.5423	7671761.815	-130.8666087	Jul-26th-2024-12-52PM-Flight-Airdata	3.541662646	NA	3.541662646	NA	adult
20240726011A	06:42.3	9571	60.8	21.1	-89.9	0	-21.04577217	55.2095773	313957.6591	7671742.51	40	K	1594.465	476.515	313956.5983	7671736.942	313958.7199	7671748.077	10.78728476	Jul-26th-2024-12-52PM-Flight-Airdata	11.33552056	NA	NA	11.33552056	adult
20240726012A	06:30.9	9226	46.2	21.1	-84.9	0	-21.04565297	55.20910143	313908.0511	7671755.151	40	K	472.87	696.965	313909.172	7671754.882	313906.9301	7671755.42	-76.51768068	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.112262911	NA	NA	adult
20240726012A	06:35.5	9368	50.3	21.1	-84.9	0	-21.04564001	55.20909938	313907.8221	7671756.584	40	K	491.72	664.335	313909.0404	7671756.466	313906.6038	7671756.702	-84.473533	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.30468624	NA	NA	adult
20240726012A	06:35.3	9359	49.9	21.1	-84.9	0	-21.04569768	55.20909504	313907.4424	7671750.194	40	K	530.89	798.51	313908.721	7671750.084	313906.1638	7671750.304	-85.08718324	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.465047077	NA	NA	adult
20240726012A	06:53.9	9919	83.3	21.1	-89.9	0	-21.04546732	55.20902357	313899.7274	7671775.615	40	K	467.79	362.63	313901.0126	7671775.479	313898.4422	7671775.751	-83.94540505	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.489467027	NA	NA	adult
