name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240724015A,2024-07-24 05:56:32.600000,770,43.2,260.5,-15.7,0,-21.0550552296671,55.1717636831363,310039.253486785,7670670.14621902,40,K,989.03,767.375,310039.619253364,7670671.54517219,310038.887720206,7670668.74726585,-165.347599189816,Jul-24th-2024-09-47AM-Flight-Airdata,2.89195793089611,NA,2.89195793089611,NA,adult
20240724015A,2024-07-24 05:56:32.800000,774,43.2,260.5,-15.7,0,-21.0550619894963,55.1717461939027,310037.444410444,7670669.37695642,40,K,990.495,770.54,310038.203097654,7670670.64825888,310036.685723235,7670668.10565395,-149.172114826674,Jul-24th-2024-09-47AM-Flight-Airdata,2.96095676273243,NA,2.96095676273243,NA,adult
20240724015A,2024-07-24 05:56:35.600000,860,43.9,260.5,-25.1,0,-21.0551174394717,55.1714533967543,310007.084366498,7670662.88878373,40,K,1032.525,545.96,310007.901578514,7670664.2740597,310006.267154482,7670661.50350776,-149.462488024705,Jul-24th-2024-09-47AM-Flight-Airdata,3.21672192599938,NA,3.21672192599938,NA,adult
20240724015A,2024-07-24 05:56:33.600000,798,43.3,260.5,-15.7,0,-21.055090483253,55.171593456733,310021.606591049,7670666.04020731,40,K,1007.11,736.09,310022.929622686,7670667.3053575,310020.283559411,7670664.77505711,-133.718865215604,Jul-24th-2024-09-47AM-Flight-Airdata,3.66115704412994,NA,3.66115704412994,NA,adult
20240724015A,2024-07-24 05:56:30,688,43.4,258.2,-15.7,0,-21.0550586134744,55.171764783914,310039.372187033,7670669.77289088,40,K,942.84,623.67,310033.649543243,7670671.78056543,310045.094830822,7670667.76521632,109.332395916888,Jul-24th-2024-09-47AM-Flight-Airdata,12.1292059205964,NA,NA,12.1292059205964,adult
20240724015A,2024-07-24 05:56:31.600000,739,43.2,260.6,-15.7,0,-21.0550429792762,55.1717741746647,310040.328319536,7670671.51503192,40,K,962.39,709.94,310041.338682835,7670672.60718159,310039.317956237,7670670.42288225,-137.227644923843,Jul-24th-2024-09-47AM-Flight-Airdata,2.97565111747814,NA,2.97565111747814,NA,adult
20240724015A,2024-07-24 05:56:30,687,43.4,258.2,-15.7,0,-21.0550583823666,55.1717666017138,310039.560817848,7670669.80064461,40,K,942.595,624.4,310033.314605432,7670671.66870339,310045.807030265,7670667.93258584,106.65038027142,Jul-24th-2024-09-47AM-Flight-Airdata,13.0391430929751,NA,NA,13.0391430929751,adult
20240724015A,2024-07-24 05:56:30.800000,713,43.2,262.2,-15.7,0,-21.0549805275459,55.1717496836616,310037.703673168,7670678.40022042,40,K,983.89,659.345,310032.606836675,7670682.0288974,310042.800509661,7670674.77154343,125.448847438341,Jul-24th-2024-09-47AM-Flight-Airdata,12.5131992567754,NA,NA,12.5131992567754,adult
20240724002A,2024-07-24 06:25:53.400000,1861,79.9,225.3,-24.9,0,-21.0410330074258,55.1680513921754,309635.600378957,7672218.19659507,40,K,403.995,449.605,309633.11241026,7672220.15853717,309638.088347654,7672216.23465296,128.258318041265,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.25694092765769,NA,NA,adult
20240724002A,2024-07-24 06:25:53.400000,1861,79.9,225.3,-24.9,0,-21.0412203280062,55.1679561011928,309625.934002575,7672197.34354805,40,K,408.335,417.03,309622.792452875,7672199.15302312,309629.075552276,7672195.53407298,119.941154304034,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.59080259053595,NA,NA,adult
20240724002A,2024-07-24 06:25:53.400000,1861,79.9,225.3,-24.9,0,-21.0407804452177,55.1681670526044,309647.301042946,7672246.29720844,40,K,404.715,501.735,309644.672922419,7672248.49608679,309649.929163473,7672244.09833008,129.918324059014,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.78334473538742,NA,NA,adult
20240724002A,2024-07-24 06:25:56.800000,1962,79.9,217.8,-17.8,0,-21.0418932620808,55.1681067693085,309642.45001353,7672123.01911631,40,K,410.51,488.705,309638.792640155,7672126.90325155,309646.107386905,7672119.13498107,136.722279300804,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.82012399903459,NA,NA,adult
20240724004A,2024-07-24 06:26:31.600000,3003,41.6,207.3,-17.8,0,-21.0449356044085,55.1681487513813,309650.681908324,7671786.23452589,40,K,322.025,586.995,309650.62664187,7671782.31486796,309650.737174778,7671790.15418381,0.807806400144942,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.86009505558412,NA,NA,adult
20240724004A,2024-07-24 06:26:31.600000,3003,41.6,207.3,-17.8,0,-21.0449803898074,55.1681086223923,309646.56795635,7671781.22817989,40,K,364.92,567.985,309646.312339981,7671777.01730776,309646.82357272,7671785.43905201,3.47381462193158,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.89724689047424,NA,NA,adult
20240724004A,2024-07-24 06:26:38.800000,3218,40.4,190.7,-17.8,0,-21.0449105944886,55.1684878745576,309685.897678102,7671789.40829702,40,K,340.425,568.59,309686.616276977,7671785.19871276,309685.179079228,7671793.61788128,-9.68732339098512,Jul-24th-2024-10-09AM-Flight-Airdata,NA,4.03095638650276,NA,NA,adult
20240724004A,2024-07-24 06:25:35.600000,1326,80.5,40.1,-85.1,0,-21.0389813545679,55.1686047019166,309690.503833971,7672446.00674646,40,K,353.315,257.025,309691.384618906,7672445.14273045,309689.623049036,7672446.87076248,-45.5506408707893,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.97763512402484,NA,NA,adult
20240724003A,2024-07-24 06:25:49.400000,1739,79.9,142.1,-41,-0.1,-21.0392456189398,55.1695402140639,309788.078020554,7672417.86451903,40,K,481.46,722.56,309786.931398475,7672416.74383368,309789.224642633,7672418.98520437,45.655403233149,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.61666670186104,NA,NA,adult
